gene	r_squared	pvalue	pc1_r_squared	pc1_pvalue	pc1_2_r_squared	pc1_2_pvalue	pc1_3_r_squared	pc1_3_pvalue	pc1_4_r_squared	pc1_4_pvalue	pc1_5_r_squared	pc1_5_pvalue
MAD1L1	7.3190862602998e-05	0.861229403618417	0.420233325651454	0.906092459216883	0.481943663721136	0.702070896381428	0.499710848458946	0.951878688654761	0.506267068746865	0.981967541587476	0.515985051708091	0.956433294814446
SNX11	0.00886518865848375	0.053837651066601	0.00886724876619091	0.0541018019422292	0.0120593326369895	0.0630911495090701	0.0223180260643892	0.0600677578964772	0.0646711393006734	0.0322091580586241	0.0804075936766683	0.0311739797385391
TMEM176A	0.0116697936498569	0.0268442621383873	0.0189313834299117	0.0296907426759158	0.0367102890581838	0.0225078533508516	0.0572848503415293	0.0308208309446609	0.0812239801620988	0.0248245439133471	0.0965849476019829	0.0170831624775296
M6PR	0.0237938225129378	0.0015201387798808	0.102943220083709	0.00118387634354859	0.201636473294805	0.000585574793690834	0.206772491652092	0.000607696875667339	0.210003795846506	0.000485184738288053	0.221490536363781	0.000260186495233524
ALS2	0.00442853250863723	0.173432490945302	0.363028017221618	0.0547276415142042	0.369266818645501	0.0632518552408859	0.376355232465233	0.0641677285206675	0.427163469099081	0.1484180730745	0.427549826279776	0.140634565576933
CFLAR	0.00749889042799629	0.0762726417661173	0.119486590913098	0.0989670518143966	0.301885150981298	0.0267445374944178	0.52725486375012	0.194687943380756	0.533815927410833	0.196154944687646	0.589875736661845	0.0384902915122491
TFPI	0.00152291537077164	0.425052946389438	0.0019113564866363	0.448896044430791	0.00313193197338305	0.458056720553434	0.0552984654986194	0.461645383858808	0.0719609367707221	0.401988649671929	0.0787561937848303	0.446281737825554
ARF5	0.000411073882676047	0.678641802558144	0.49089151321755	0.344212724022762	0.557267677773928	0.490516369774572	0.598054649598278	0.30341167859707	0.598654312238318	0.267696011612776	0.600655716587111	0.26695821719988
POLDIP2	0.000367614825663146	0.695205728230967	0.0468521797432393	0.485748320302551	0.0508122098905205	0.567624688684295	0.251217082282843	0.982579214455209	0.292584542734294	0.704449800165763	0.297443348410032	0.744872656855806
PLXND1	2.34395615662468e-06	0.975044135174167	0.0313103629487939	0.926752347247807	0.0313201001466903	0.924500483070202	0.0896800168255454	0.991213100420571	0.111986106760445	0.966668030168912	0.120154308695602	0.999115421112666
FKBP4	0.000110379238014303	0.830019710437239	0.0119771300457537	0.764715234296063	0.0181800587164581	0.918203654248185	0.30087538337047	0.655399619510584	0.300950941647229	0.656759420954182	0.310490997218887	0.533548067405165
KDM1A	0.00615575961320816	0.108360143189896	0.00687728186886868	0.124624424880259	0.326091390185123	0.0205278784668926	0.382697377277007	0.00977439652825544	0.477939549767128	0.00190164131797304	0.480824622593281	0.00246779537656532
RBM6	0.0016629484800354	0.404516379228752	0.127788235333845	0.135351491250242	0.146871037927734	0.072633852798933	0.257441139903456	0.019592557811552	0.389201349431706	0.00931286535045094	0.499243373245172	0.0122825197594461
RECQL	0.000678334917043869	0.594545645895024	0.23768230276117	0.555745465626552	0.325050213029187	0.608250643965486	0.34465846443284	0.568354144811314	0.346414774846718	0.571286143612623	0.349245729109387	0.629240229404078
SLC22A16	0.00031363838305001	0.717433933950534	0.000735646417135962	0.708225112386513	0.141717055676818	0.496951768942034	0.145008226790139	0.482095905848911	0.167997307755142	0.389869290156751	0.190974782867385	0.494047465536784
ABCB5	0.00326713578411755	0.242454867813094	0.00439712046790284	0.280343760886453	0.0154472206130751	0.305092138002	0.143571768873665	0.245327180248951	0.158151523829192	0.234012024796772	0.171943588338755	0.223563808334329
SLC25A13	0.000801327469370167	0.56291122591988	0.129986735058718	0.289957592351454	0.386598007735114	0.153332185172652	0.44152599923259	0.494609783297687	0.441811741305464	0.488244824046038	0.442616389103847	0.483141613953207
ST7	4.77369192280405e-05	0.887730930833239	0.000281779637449952	0.886818778951332	0.00875432918878533	0.832674879269585	0.0136888709119754	0.689043369450952	0.0163172681188276	0.699258364447309	0.0477056138509794	0.619994853475148
CDC27	0.000779717653811393	0.568226264293707	0.340970281341655	0.207736456615128	0.346075169660252	0.208956709154194	0.379805187218545	0.235796823246159	0.393471525684853	0.279966066655597	0.395393123360588	0.250143182798295
POLR2J	0.00367611692602275	0.214974136830954	0.487887816052816	0.0548229037217228	0.528206992122247	0.048509348555535	0.580669212006815	0.0419722466084236	0.585848822432638	0.0281990562909187	0.586346123746816	0.0286534537430271
DHX33	0.000967908364204035	0.524878017622773	0.343828846845492	0.888949944405967	0.393551431929831	0.689204382848734	0.394307847510203	0.701057372139473	0.568061918194085	0.297777791002743	0.568633577473822	0.301631189657639
MEOX1	0.00887297986390188	0.0537319312014095	0.0242893057567054	0.0641055956092569	0.0255220751913132	0.0608630203676969	0.3263003293747	0.0139884594388358	0.334515159713811	0.0123849736775647	0.33707491963343	0.0145874745239198
LIG3	0.00674251165312082	0.0928337464016001	0.0403549322770081	0.0722217912381649	0.0418905168382614	0.0746896277438328	0.160956844061472	0.0764542584143448	0.169394191361465	0.0651097698236942	0.176118854581739	0.0570707444988736
PRKAR2B	0.00229363150715371	0.327516666726161	0.0185055950815401	0.514585531480686	0.0603854257691003	0.465275996339769	0.0611972999298741	0.46178654134797	0.0637581865827467	0.456369884026268	0.064264378180677	0.467880201445033
BZRAP1	0.00160639630231159	0.412629957968306	0.112278514781353	0.175483421921328	0.144901298047608	0.173949800224316	0.15759252708458	0.184647961105888	0.492372229993857	0.571716307162125	0.540029677094532	0.303035106577427
PON1	0.00319562266116432	0.247685729554511	0.00810284900839504	0.216776526533858	0.0134558888626776	0.19611757568049	0.0163441151569791	0.19490153225168	0.0188129467229418	0.19671981715006	0.0201141494462027	0.190499264616071
WDR54	0.00387617372221804	0.202889883085546	0.114957958926288	0.177466018039951	0.137371732192403	0.24078925049084	0.183771025939852	0.273735948764629	0.185675511975519	0.275201670954082	0.189026264715645	0.289256332359731
CROT	0.00246402707706805	0.310158246400315	0.0114820912175128	0.283433302764474	0.173222286535483	0.470729822453683	0.176751639162188	0.545023738105008	0.180405716616254	0.584147817653702	0.186416237268862	0.59977421710862
IBTK	0.00928877739132164	0.048395611646598	0.321553223657855	0.056076007924605	0.40108074983768	0.199619939915542	0.415084578601862	0.310655553664907	0.424872195077042	0.364275534883214	0.427287622912615	0.398440725559467
ZNF195	0.013680969913771	0.0164769422495397	0.0500618734376456	0.0265765133494834	0.096017697890952	0.0529206845315146	0.098656882429151	0.066465281203079	0.124985013943019	0.0558450704687783	0.167505156607808	0.0387234015006738
MYCBP2	1.808743409076e-05	0.93075114836028	0.352371793018054	0.0774889733449745	0.352501448642485	0.0809001618962892	0.557667925035812	0.668148600088247	0.558429786432198	0.665126716558586	0.591730145589571	0.745163857936591
PDK2	0.00848624569039924	0.0592543794732237	0.0365781384933876	0.0951364876076579	0.128880166636152	0.224985079388248	0.129573400221484	0.227730120415814	0.134281719042576	0.210802289207254	0.142056780550592	0.197301414111671
ITGA3	0.000764468266704058	0.572035957975019	0.00402863544300127	0.560351179261824	0.0163651693282126	0.446692838270401	0.029744979056659	0.416925857322855	0.0332103399162766	0.458192636052564	0.0429460464845936	0.389495820551673
GGNBP2	0.00273312249449949	0.285094756555258	0.0583540965192072	0.25302309696384	0.113427285364645	0.440942114809944	0.140847919267406	0.52210765055588	0.142081375622237	0.523630921648337	0.177527181126407	0.446352002143987
ASB4	0.0165694176191696	0.00826238539137352	0.0189501522296516	0.00835658427035741	0.0190044891035732	0.00834208563240401	0.0196412663450846	0.00789682673320721	0.0919277646310975	0.0010708627748774	0.0925282724988943	0.00107137961133346
GDE1	0.0061053237894965	0.109821433111378	0.00611580632720514	0.110591076818985	0.0947833302626511	0.266404364801815	0.132190869646435	0.205684418067879	0.191964103485896	0.232068848419428	0.19937679280297	0.378913946607327
OSBPL7	0.001216875328987	0.475851727704686	0.190257489284872	0.676760652378799	0.24811821658922	0.978986907727906	0.348455173389025	0.731677527469682	0.371447585296893	0.706900075884859	0.397122418498988	0.672920874299014
TMEM98	0.000198091272834747	0.773656139408543	0.010011388040979	0.633752729139149	0.0101729942764439	0.625294835741584	0.0159724117573944	0.674174521305681	0.065092516988954	0.64688841495429	0.129164609604144	0.479571294943491
ABCC8	0.00138036783702909	0.447607869327054	0.0164168296856884	0.545769524519394	0.146178006917899	0.589127134302948	0.154945548989179	0.56672873208811	0.198225268828102	0.767854223481031	0.21174223819965	0.667369649905941
SYNRG	0.00821215978176556	0.0635303446768489	0.192380394826503	0.32752560463178	0.203041225799273	0.324211243057531	0.232528124945438	0.351327281130906	0.232730347808139	0.354712040797279	0.30408297820397	0.317942746697793
CACNG3	0.000124236128128661	0.819837559388741	0.0103476735054951	0.784562497622188	0.0268691553362681	0.838615807943073	0.0669621714422636	0.949612585614112	0.0669766317069332	0.950760109575145	0.282342202846814	0.715758236288367
TMEM132A	0.00364941468843949	0.21665064848896	0.0653755896787395	0.28539967735381	0.134146487910474	0.120580138966327	0.165783829980656	0.095323768116026	0.166465045382819	0.0912646725676187	0.179074063711751	0.0813017931873302
TAC1	5.07513213659299e-05	0.884264635665452	0.00105631750090166	0.875939077449242	0.00896638530636165	0.767131003287448	0.0099462580114209	0.765102997475206	0.0208851961082015	0.665503763137325	0.0213972816717122	0.681970397856555
ZNF263	0.00146719470904612	0.433658939712134	0.082290218360482	0.423219700334607	0.147881889058838	0.616685814673801	0.189678075736895	0.456108680245387	0.190714045222508	0.485213089218501	0.191512922284322	0.499656454659299
SPATA20	0.10223635456694	1.94312268176056e-11	0.201336477875887	3.46340286616924e-12	0.288025348312698	5.78377175839681e-11	0.30331800570956	1.41546386564742e-11	0.306380528159267	1.30134802502248e-11	0.308006146093686	1.07838951620699e-11
TNFRSF12A	0.0125373009117173	0.0217281614076713	0.175920813982425	0.0297771669418884	0.212704487962129	0.0347227533434762	0.215722296900113	0.0380216585945532	0.252150447806758	0.0322692712408043	0.339221884503657	0.0235374223818173
MAP3K9	0.00469601249963921	0.160957694145119	0.179248035450903	0.52863954702202	0.183862802626435	0.524920902376913	0.198804449796121	0.686231806269895	0.221409166050302	0.792209742402923	0.222051940606577	0.773428162113966
JHDM1D	0.0092040977846743	0.0494352768422837	0.180398530227559	0.072282656774944	0.196186016496885	0.0617782899070485	0.246813944224245	0.200188796773763	0.249033013957247	0.200859637149712	0.251347752233303	0.206498758381417
AGK	0.000150496994642998	0.802066448480197	0.00197035837240104	0.854423130171853	0.0672663066489654	0.906677739342439	0.10108554947215	0.915268096241627	0.123054580107467	0.864801190950356	0.141699425930549	0.951078585875965
ALDH3B1	0.00194230436619679	0.367617722880426	0.023010897838372	0.33966803788028	0.0429164390518681	0.346732414450606	0.0906128258025315	0.612665301366606	0.133701375047771	0.719690866621705	0.133999438368481	0.703324562298083
PHTF2	0.000210306044743859	0.766977299798465	0.242019700975331	0.555965571876774	0.254682131667467	0.609696013932907	0.262747295821292	0.563544335505706	0.291245636170868	0.595975871437703	0.291659252714593	0.587658397543416
FARP2	0.00789997039272515	0.0688033821355142	0.00853350456738124	0.0740324809781585	0.232794886405945	0.033319053659855	0.244552290364761	0.0326923361338568	0.280914005412751	0.0233471691309619	0.297190839751375	0.0363079847876396
USH1C	0.0018148776702228	0.383829540239434	0.00196463840835726	0.396421092933394	0.103298388799829	0.523131029175579	0.103681809073397	0.515954440382119	0.120974334992643	0.531888310236568	0.12488628544665	0.531816767735978
IFRD1	0.00391596807318726	0.20058250632068	0.0145344615365996	0.182669726321762	0.468031446256269	0.00742017121703219	0.471596841332168	0.00953933195174376	0.525925509064259	0.0614054165958772	0.526617153820087	0.0589123179199054
LGALS14	0.010351715937484	0.0371314184656153	0.0112216600116225	0.038034000176325	0.0159754075918463	0.0408610544129911	0.016000083261818	0.0408881008549441	0.0207062125629019	0.0360854181175108	0.0209049108006393	0.0367121301055719
COX10	0.000846707138860588	0.55205404758379	0.0148372509610059	0.481954112939993	0.15641394615789	0.28619971071204	0.176597998300424	0.343199174050959	0.194767257176094	0.389127397390769	0.195716498645428	0.424035194496099
GTF2IRD1	0.00012249724645497	0.821081408012181	0.0496701214504695	0.60903835534265	0.0518115097122565	0.624189653025694	0.170518786343959	0.489084553688951	0.263377200455711	0.453840351762465	0.265028508938967	0.450790845510761
VPS41	0.00396532357747894	0.197763330567909	0.264599400413977	0.189279096062029	0.30704337732524	0.193295919661703	0.343166114289653	0.260988975743153	0.343504929976565	0.262615968085592	0.348656763066788	0.292191563880841
ELAC2	0.0228031824843376	0.00191363798456576	0.0644838068649134	0.00137751684155779	0.120142471400428	0.000428462535109494	0.121291077850842	0.000533044926365166	0.1362372051085	0.000850378945604016	0.143278990655886	0.000867774659544207
MYH13	0.000339207480199966	0.706652829836396	0.000408900914974114	0.702977770839632	0.0139703941387725	0.758814466010126	0.0474516181732593	0.896276997743631	0.0670715279081143	0.949213361293023	0.105863963812921	0.857705338386297
CDKL3	3.38962134590447e-05	0.905305589007594	8.54328066147105e-05	0.902261829696061	0.0345425836261603	0.910382807582239	0.0634941681312281	0.940654586975321	0.0637786570125828	0.942768633067069	0.0656937263098346	0.995229295074824
UPP2	0.00218584834086172	0.339163310577789	0.00505999946151756	0.293131005158509	0.0356706003370309	0.25982203266752	0.0373388274127708	0.278543361090234	0.0659368280666439	0.394849190466142	0.0671795041639833	0.40339969941395
CCDC124	0.00230395241438876	0.326429463751446	0.646435352304533	0.318568509418019	0.716750039049909	0.52444109449104	0.718614978492517	0.482184555720565	0.721950766977978	0.512619454039512	0.726206579184729	0.483359453620057
CEACAM21	0.0276342671708841	0.000625081853015581	0.0297968641475553	0.000645938784077046	0.0538681580460473	0.0006477708206858	0.178171957022335	4.16548709313332e-05	0.236215443071582	2.6521368339644e-05	0.385781690962755	2.00737026982426e-05
NOS2	0.0248172683667842	0.00119893860179101	0.0253696460028887	0.00122286561112694	0.0457444614412985	0.00427491481027401	0.0579998971882869	0.00321404122241459	0.0833102603374265	0.00116768054709982	0.141566122654973	0.000238626572832846
DNAH9	0.000315944018004919	0.716441782610153	0.00597209781748349	0.689834722233998	0.0201180274193344	0.652402797527638	0.0212450623608594	0.642791700662971	0.0216479537725075	0.644069343408835	0.0225542746378027	0.633033563374513
KIAA0100	0.00440488112526115	0.174587772550603	0.124814212650331	0.414800701912701	0.166790596491615	0.533796392440954	0.230194919448258	0.856125766154492	0.230508994423188	0.844796117748406	0.244721821740212	0.922610910453525
SLC13A2	0.00059374417869458	0.618513760456884	0.00371266258771837	0.66059640860403	0.00409046791712897	0.671972256940316	0.00426375174150827	0.675501382137197	0.00504468787060495	0.670274968165998	0.0054655457309727	0.680130676272113
TRAPPC6A	0.00269132960770678	0.288813085920289	0.52821826779874	0.254676733928652	0.542557539196534	0.291163192289472	0.557361806445112	0.263294015091469	0.55950423157201	0.267850546250805	0.559583308479098	0.263582377722511
MATK	7.4770995922312e-05	0.859754731610234	0.073188938277136	0.846684379630342	0.142730445936766	0.711285425794653	0.245536208306608	0.890431078602191	0.250381845563744	0.932881328727979	0.256260357577532	0.997059325670665
CEACAM7	0.0040007012829111	0.195771058631386	0.0109791524201735	0.244427993556314	0.0145375981284768	0.284270249488134	0.0158197813876403	0.271453252776336	0.0265444858012569	0.25705503083298	0.036131590601816	0.221838525338511
ST7L	0.162189176576908	8.28707122658051e-18	0.172918185705677	1.00861063453404e-17	0.226244327983519	5.53891859744939e-20	0.228650437997731	3.41993938372601e-20	0.279746269717627	1.08114763722766e-20	0.280318443020896	1.01882921726522e-20
RPUSD1	8.98847677809032e-07	0.984544450767335	0.448734765009531	0.480313059812854	0.469803564824317	0.518425458945003	0.517263869976785	0.371561332794952	0.520232598117501	0.334586593607823	0.522052685512656	0.307787946811829
RHBDF1	0.00222351276227378	0.335031612295327	0.24619509023119	0.0874853906817219	0.313967640352082	0.0898378712241488	0.315385761354634	0.0954877420823171	0.320089765411367	0.125739889680408	0.326808486870791	0.156361479799251
BAIAP3	0.00156104718746183	0.41931046347988	0.105472734219127	0.430255420909717	0.181637076361819	0.391470091940458	0.192872720537566	0.500196579049158	0.194182825141917	0.543468216370324	0.195873729312345	0.487751457705055
TEAD3	0.00079169195687955	0.565269206677625	0.0829134490763033	0.516366636772124	0.125287908229106	0.628178401405631	0.132559449457362	0.727257618430003	0.211306786899969	0.71888964201424	0.269433622869573	0.6476535472095
PSMB1	0.000110105868158794	0.830227132726054	0.111914565666473	0.889217081727458	0.255778767152838	0.987691963687045	0.31523827445683	0.762581042489332	0.429770941141223	0.922953589068094	0.430046812756798	0.924690233393733
CDK11A	0.00148615221141047	0.430701679919158	0.1980504526294	0.194054143569484	0.202218084228576	0.231402948476298	0.303518584028114	0.307247736625649	0.340104417300686	0.240605450971031	0.371389417032832	0.277971563117261
TFAP2B	0.000899540151630449	0.539898812935224	0.00439997076480606	0.469984566549855	0.052695583886329	0.397173826271236	0.0647299618894174	0.438802638267059	0.0660208986672877	0.484730548377928	0.0673494470393775	0.515239491946389
TFAP2D	0.0021498390435714	0.343177567823016	0.00476927428561091	0.327988177550832	0.0338338912375379	0.299516935943041	0.0347126009727065	0.29219151371521	0.034721809325768	0.296783493636844	0.0409423879414853	0.291365833608425
CELSR3	0.00153777920539031	0.422800631074542	0.00619551513110538	0.440058080377222	0.0170457335944525	0.435544656886281	0.100192832654465	0.308338767125308	0.13644129604181	0.31019117399364	0.175733373143023	0.641886802082874
AASS	0.0018149893726521	0.383814892422191	0.00183567656386572	0.383926314414903	0.0829030674154278	0.299662326069576	0.295570225543926	0.510175832491279	0.411146160468019	0.435831780843578	0.414821846525674	0.485932534385309
PLEKHG6	0.0047948602141168	0.15660861476168	0.0171511862579651	0.210603783307286	0.160339440498735	0.227987579213156	0.16933303683481	0.272906094417517	0.197259262293411	0.346781474152224	0.1997554949705	0.319006433783336
MPND	0.000213705768342776	0.765156095855308	0.478769911071346	0.562069543525602	0.478931534645856	0.547596130941417	0.483430921305895	0.502080728575051	0.483676484413548	0.498167489500022	0.484491005967669	0.497654513130394
PGLYRP1	0.000841723628969039	0.553226930953985	0.00536796710940884	0.683606920853541	0.00721331874233287	0.708009235314592	0.0395622640005875	0.502334724323578	0.0845819624247164	0.435014507793371	0.0847378922100602	0.432597566380765
ST3GAL1	0.00311850250824632	0.253481961620046	0.0360767595045022	0.251255685966139	0.0413570544183081	0.225628273887434	0.0860662580821065	0.250062861237887	0.0948938080996521	0.284310258312385	0.108557740779015	0.266647581641397
MMP25	0.0112259319432967	0.0299294344882169	0.0246091856262858	0.0156210821379927	0.0259722806062089	0.0152399815812823	0.0279276562920732	0.0173592015062553	0.0281488587533058	0.0171039817209213	0.0447242016751098	0.0290367077313881
IL32	0.00941081035433801	0.0469375888739342	0.0307808050867226	0.109206731378819	0.293729673848588	0.0782012194200111	0.36470997030577	0.123077276016039	0.410543320777943	0.123212647452574	0.47261051453739	0.0663649676079393
PKD1	0.00628411752051755	0.104736254055146	0.090075335291971	0.0468302888503731	0.14348011258426	0.033747515705825	0.287326335271007	0.0362082255259973	0.437037566510368	0.229906813449556	0.444262986679324	0.275756281673552
MAPK8IP2	0.000309325761866461	0.719300848820339	0.00518134569755015	0.667498144932757	0.0715369176586701	0.752715439894729	0.14271649996281	0.78301037278762	0.160699404648237	0.820780766276508	0.189371787602514	0.610731947362844
MED24	0.000196165043722251	0.774729546495252	0.000756955568000386	0.761164065946789	0.00211272919834638	0.751470687476992	0.0249385525367221	0.897510144972298	0.0286686488140562	0.873151373938073	0.0291225321351275	0.865490348035885
HEATR5B	0.013033555405543	0.0192650735379422	0.367270617507391	0.883020852805292	0.499554944223247	0.953467127719852	0.499599176773084	0.954497697811035	0.572374265936521	0.867962238142653	0.615510339010005	0.877278042324004
RPS20	0.000919012050638532	0.535542372909287	0.205158427196211	0.770042051502122	0.343976753559881	0.56925522482252	0.351585911273179	0.481030970568635	0.353268634954509	0.448691202734053	0.35345235043034	0.462391981341591
UBE3C	0.000214431466684648	0.764769391849212	0.276306885898581	0.58457093671793	0.322593540185132	0.53021098605412	0.347349008369819	0.577515006447725	0.368321332100985	0.47108679103123	0.368344483556184	0.4731214661386
PAX7	0.0032014633419395	0.247253386902166	0.0144080234281127	0.224935585336768	0.0147637368206406	0.238961243095768	0.0205162288261496	0.285393792993269	0.0216561914399902	0.267194209615117	0.0216889728292044	0.269491009693372
TRAF3IP3	0.00637872061440088	0.10215010962986	0.00776996405216348	0.117697518539221	0.109408751507851	0.128649487540807	0.358306445457345	0.882833065819681	0.382008062268123	0.700654033277856	0.768486793996526	0.119800920599292
MLXIPL	0.00535027665503024	0.134503571034202	0.0934428555849573	0.21767122438054	0.107373968717706	0.20422125121811	0.141463429159122	0.165033654060897	0.149818450543352	0.136650022311462	0.15141038564856	0.130760901786299
ZNF207	0.00403466981409717	0.193880158514488	0.252240298671732	0.660090796924958	0.253704688018138	0.674143581948953	0.296663267050237	0.505660485844869	0.30135546945078	0.499477188916655	0.329643213260543	0.401235512835358
HHATL	0.00059683221310629	0.617602238657273	0.0113691859192911	0.720377361609289	0.0181084512937971	0.664303255778802	0.0296489632088011	0.721155504322729	0.0420913829039384	0.83317948694415	0.0432775750731649	0.788231442280433
NCAPD2	0.00165843769532007	0.405154944836127	0.022775450655596	0.351182236612872	0.412341650466441	0.589625324577399	0.442661310726977	0.608433333353591	0.516927294902659	0.839623889244371	0.521822848858773	0.877436197898316
PHF7	0.00102669569213164	0.512545910983307	0.0396520940920413	0.455022232867144	0.258198599253252	0.549034127127462	0.263287405047655	0.485917969077079	0.284834707372659	0.561087231782646	0.322657243752721	0.766735665811689
SEMA3G	0.0024805146039491	0.308542986539923	0.053574576213682	0.313700374210887	0.135557092906308	0.405738449645741	0.392097972971709	0.988657298103573	0.409372951595454	0.95286181022756	0.412088445775377	0.819958886046365
NISCH	0.00579105556545758	0.119428735239448	0.134278524537985	0.100802515920614	0.317224394847812	0.273458461961986	0.476334716756503	0.505589283287091	0.673723535545364	0.748065505991771	0.675216547447229	0.833409204881246
FUZ	1.95357040928062e-06	0.977216304362765	0.366024955991238	0.438828817961299	0.464870027959652	0.176102119318182	0.489053269525811	0.176873463431575	0.531753301198407	0.238449763511251	0.535042363095573	0.264071671742632
PRSS3	3.79466577346852e-05	0.899835507236933	0.000896971681117767	0.928572918611234	0.0834309460473875	0.684891695144083	0.0920859659025967	0.697481165215006	0.0999010655193077	0.803277162202544	0.100114083868963	0.802009788158978
ZNF200	0.000192409654141809	0.776838777948544	0.0893326985132871	0.679064551469068	0.122493242957407	0.823461745149002	0.140206012555346	0.793825289978751	0.155395431023365	0.88114046812628	0.171540520883465	0.868445261214688
CD4	1.8698722362327e-05	0.929593675377185	0.00371980608376429	0.883761357358919	0.0978098691089991	0.812532591819877	0.450387903868331	0.908394885803043	0.619257472635006	0.732244575030986	0.765077752451878	0.744631991254894
LRRC23	0.0189583462679911	0.00470072954003173	0.116015237572738	0.00505426938721742	0.137553587481626	0.00525664088105175	0.192977353448469	0.00814221013705663	0.193250454787607	0.00810499089126661	0.196640476603856	0.0104109397793635
HFE	1.17951309607854e-05	0.94405454742674	0.0805239683564243	0.94277764782074	0.163671618399299	0.934147083107991	0.194195720586244	0.933308701715962	0.206287338172865	0.976397223538284	0.234140601490056	0.770278970227767
FMO1	0.0012942473007484	0.462143315057922	0.0429043465380036	0.355423845788088	0.0819076240590232	0.386228319706709	0.124728995645138	0.383077336871592	0.150746808237811	0.424909719548796	0.160987530865527	0.374244638157014
LYPLA2	0.000413521350971506	0.677740026300324	0.497859862755141	0.869899391106247	0.547951917345333	0.53587159065826	0.552380455947244	0.500537303138604	0.553175044490694	0.478283353943393	0.556847017029766	0.51055588286581
TSPAN9	0.000752258324772551	0.575122600749454	0.10633338057882	0.533970026969548	0.157595920924861	0.635359556408268	0.197031858639293	0.96852101665773	0.209271555504484	0.958360872499507	0.30183825958068	0.940055486755952
APBA3	0.000343942590420594	0.704707615278436	0.428718786529982	0.797443698911857	0.437706543555357	0.823060818667688	0.512941485610278	0.772928689522804	0.559046915376147	0.943465622006195	0.567949257692801	0.881176271978339
ABHD5	0.00114835972216476	0.488550949375345	0.115026255038673	0.685800728290458	0.12589051925501	0.773612294599262	0.230275983126436	0.930353226595016	0.242483899934756	0.927155490811735	0.247748258719326	0.927034104334574
UTP18	0.000514419304322807	0.643011244976918	0.0095816402542021	0.696226835028874	0.0141363409585459	0.717612425506699	0.0425283496513881	0.726397361048264	0.0751634267827068	0.567147756988894	0.0797359805362474	0.532125325648163
TTC19	0.00881789036853907	0.0544841775295514	0.00883209964992095	0.0549409054992617	0.0488722049079128	0.0280094122022784	0.0895974788949074	0.0304356665353413	0.13664204024515	0.0274915453994866	0.13693385010423	0.029442006425961
LARS2	0.0331515964136196	0.000175619181901765	0.112324004076579	3.29664641321191e-05	0.112398878000851	4.74451265201524e-05	0.160946964381002	0.000402582209064438	0.166658842150497	0.00022821407921508	0.169544913355795	0.000251255271859619
PIK3C2A	0.00686429982586751	0.0899241629268442	0.442720639497316	0.0433936233541166	0.493676270300808	0.0541442210454331	0.495239950798424	0.0442622091552132	0.516476558205622	0.0176656899142703	0.518428713265679	0.0133299932871781
ANLN	0.00143408017456205	0.438899195868553	0.1331590865275	0.24762797679368	0.480006915576589	0.155853738482936	0.52987163667337	0.0769522856848241	0.534571470128252	0.0906079327887296	0.534964801513579	0.101397409525727
